Disease,Description,Symptoms ,Precautions,Medications,Diets
Carpal tunnel syndrome,"A condition caused by compression of the median nerve in the wrist, leading to pain, numbness, and weakness in the hand and fingers.","Numbness or tingling in the hand, wrist pain, weakness in grip strength, swelling.","Avoid repetitive wrist movements, ergonomic workplace setup, take frequent breaks.","NSAIDs, wrist splints, corticosteroid injections, surgery for severe cases.","Anti-inflammatory diet, rich in omega-3s, avoid processed foods, hydrate well, include vitamin B6 for nerve health (e.g., poultry, bananas, potatoes)."
Cervicitis,"Inflammation of the cervix, often caused by infection, leading to pain, abnormal discharge, and bleeding.","Vaginal discharge, pain during intercourse, pelvic pain, bleeding between periods, urinary issues.","Regular STD screenings, avoid douching, practice safe sex.","Antibiotics, antiviral or antifungal medications (depending on the cause), pain relief.","Balanced diet, adequate hydration, immune-boosting foods (e.g., fruits, vegetables, lean proteins), avoid high-sugar and processed foods."
Chilblains (Pernio),"A skin condition that occurs after exposure to cold, damp conditions, leading to red, itchy, and swollen skin.","Red or purple skin patches, swelling, itching, burning sensation, blisters in severe cases.","Keep warm, avoid sudden temperature changes, moisturize skin, wear warm clothing.","Topical corticosteroids, pain relievers, vasodilators (in severe cases).","Stay hydrated, balanced diet with adequate vitamins (especially vitamin D and K for skin health), include warming foods (e.g., soups, teas)."
Cholelithiasis (Gallstones),"Hardened deposits of digestive fluid that can form in the gallbladder, often leading to pain and digestive issues.","Upper right abdominal pain, nausea, vomiting, indigestion, bloating, back pain.","Avoid fatty foods, maintain a healthy weight, regular physical activity.","Pain relief medications, surgery (cholecystectomy), bile acid pills (to dissolve small stones).","Low-fat diet, avoid fried and greasy foods, increase intake of fiber-rich foods (e.g., fruits, vegetables), small frequent meals to prevent gallbladder irritation."
Clostridium difficile infection (C. diff),"A bacterial infection that causes inflammation of the colon, often after antibiotic use, leading to diarrhea and abdominal pain.","Watery diarrhea, abdominal cramping, fever, nausea, loss of appetite, dehydration.","Avoid unnecessary use of antibiotics, practice good hygiene, regular handwashing.","Antibiotics (metronidazole, vancomycin), probiotics, fluids, surgery in severe cases.","High-fiber diet, include probiotic-rich foods (e.g., yogurt, kefir), avoid spicy and fatty foods, ensure adequate hydration, small frequent meals."
Colitis,"Inflammation of the inner lining of the colon, which can be due to infections, ischemia, or chronic conditions like ulcerative colitis.","Abdominal pain, diarrhea (with or without blood), cramping, weight loss, fatigue.","Avoid trigger foods, maintain proper hydration, regular check-ups.","Anti-inflammatory medications, antibiotics, immunosuppressants, corticosteroids.","Low-fiber diet during flare-ups, avoid spicy and acidic foods, small frequent meals, increase intake of omega-3 fatty acids, adequate hydration."
Congestive heart failure,"A chronic condition in which the heart is unable to pump blood effectively, leading to fluid buildup in the lungs and other parts of the body.	","Shortness of breath, fatigue, swollen legs, rapid heartbeat, persistent cough, weight gain.	","Regular blood pressure and cholesterol monitoring, avoid excessive salt, quit smoking.","Diuretics, ACE inhibitors, beta-blockers, blood thinners, surgery (in severe cases).","Low-sodium diet, avoid processed foods, include potassium-rich foods (e.g., bananas, leafy greens), limit alcohol, ensure adequate hydration."
Cor pulmonale,"A condition where the right side of the heart fails due to high blood pressure in the lungs, often caused by chronic lung disease.","Shortness of breath, fatigue, chest pain, swelling in legs, rapid heart rate, fainting.","Manage underlying lung disease, avoid smoking, regular monitoring of heart and lung function.","Diuretics, oxygen therapy, vasodilators, anticoagulants.","Low-sodium diet, rich in omega-3s and fiber, avoid processed and fatty foods, small frequent meals, stay hydrated."
Corticosteroid-induced osteoporosis,"A condition where long-term corticosteroid use leads to weakened bones, increasing the risk of fractures.","Bone pain, fractures, loss of height, kyphosis (curved spine).","Regular bone density screenings, adequate calcium and vitamin D intake, regular weight-bearing exercise.","Calcium and vitamin D supplements, bisphosphonates, selective estrogen receptor modulators (SERMs).","High-calcium foods (e.g., dairy, leafy greens), vitamin D-rich foods (e.g., fish, fortified cereals), avoid excessive alcohol and caffeine, maintain a balanced diet."
Coxsackievirus infection,"A viral infection that often affects children and can cause hand, foot, and mouth disease, herpangina, and other conditions.","Fever, sore throat, mouth sores, rash on hands and feet, irritability, loss of appetite.","Practice good hygiene, avoid close contact with infected individuals, proper handwashing.","Supportive care (fluids, pain relief), topical anesthetics for mouth sores, antivirals (in severe cases).","Hydration is key, include easy-to-eat soft foods (e.g., soups, smoothies), avoid spicy or acidic foods, include immune-boosting foods (e.g., fruits, vegetables)."
Croup,"A viral infection that causes swelling of the airways, leading to a distinctive barking cough, hoarseness, and difficulty breathing, most common in children.","Barking cough, hoarseness, difficulty breathing, fever, stridor (high-pitched breathing sound).","Humidified air, hydration, avoid exposure to smoke, proper handwashing.","Steroids (to reduce inflammation), nebulized epinephrine (in severe cases), pain relief medications.","Ensure hydration, small frequent meals, include nutrient-dense foods to support the immune system (e.g., fruits, vegetables, lean proteins)."
Cryptorchidism (Undescended testicle),"A condition in which one or both testicles fail to descend into the scrotum, typically occurring in newborn boys.","Absence of one or both testicles in the scrotum, asymmetrical appearance of the scrotum.","Regular check-ups, ensure proper testicular health monitoring, early intervention.","Hormonal therapy, surgery (orchiopexy) to correct the position of the testicle(s).","Balanced diet, adequate hydration, include foods rich in vitamins and minerals to support overall health, maintain a healthy weight."
Cystocele,"A condition where the bladder drops into the vagina due to weakening of the pelvic floor muscles, leading to urinary and pelvic issues.","Urinary leakage, difficulty emptying the bladder, pressure in the pelvis, discomfort during intercourse.","Perform pelvic floor exercises (Kegels), maintain healthy weight, avoid heavy lifting.","Pelvic floor therapy, pessary (vaginal support device), surgery in severe cases.","Balanced diet, include fiber-rich foods to prevent constipation, maintain a healthy weight, ensure adequate hydration, avoid excessive caffeine."
De Quervain’s tenosynovitis,"Inflammation of the tendons on the thumb side of the wrist, often caused by repetitive hand movements.","Pain and swelling near the base of the thumb, difficulty gripping, pain when turning the wrist or making a fist.","Avoid repetitive thumb movements, proper wrist ergonomics, rest the wrist, wear supportive braces.","NSAIDs, corticosteroid injections, physical therapy, surgery in severe cases.","Balanced diet rich in anti-inflammatory foods, include omega-3s (e.g., fish, nuts), avoid processed foods, stay hydrated."
Dermatitis,"A general term for inflammation of the skin, often caused by allergies, irritants, or immune system issues.","Red, itchy, swollen skin, blisters, dry patches, scaling or cracking skin.","Avoid triggers like harsh soaps, allergens, or chemicals, use moisturizers, wear protective clothing.","Topical corticosteroids, antihistamines, moisturizers, antibiotics (for infection).","Hydrating foods, include omega-3 fatty acids for skin health, avoid processed foods and excessive sugar, drink plenty of water to keep skin hydrated."
Diabetic ketoacidosis (DKA),A serious complication of diabetes where the body produces excess blood acids (ketones) due to insufficient insulin.,"Excessive thirst, frequent urination, nausea, vomiting, abdominal pain, fruity-smelling breath, confusion, rapid breathing.","Regular blood sugar monitoring, take insulin as prescribed, stay hydrated.","Insulin therapy, IV fluids, electrolytes, emergency care for severe cases.","Low-carb, balanced diet, include high-fiber vegetables, avoid sugary foods and drinks, stay hydrated with water or sugar-free beverages."
Dislocated shoulder,"A condition where the upper arm bone pops out of the shoulder socket, usually due to trauma or injury.","Severe shoulder pain, swelling, visible deformity, inability to move the arm, bruising.","Avoid risky sports or activities, practice proper form when lifting or exercising, wear protective gear.","Pain relievers, muscle relaxants, closed reduction (to reposition the shoulder), physical therapy.","Anti-inflammatory foods, stay hydrated, include foods rich in calcium and vitamin D to promote healing, avoid processed and sugary foods."
Dupuytren's contracture,"A hand deformity that develops over time, causing the fingers to bend inward toward the palm due to thickened tissue.","Gradual thickening of the tissue in the palm, lumps or nodules under the skin, bent fingers that can't fully extend.","Stretching exercises, avoid repetitive hand movements, use protective gloves when handling tools.","Collagenase injections, needle aponeurotomy, surgery in severe cases.","Balanced diet rich in anti-inflammatory foods, include protein for tissue health, avoid excessive alcohol and sugar, stay hydrated."
